code,coname,house,analyst,carm,yy,mm,dd,title
34220,LG디스플레이,KDB대우증권,황준호,0.041926812,2013.0,2.0,21.0,LG디스플레이
56190,에스에프에이,KDB대우증권,황준호,-0.014173188,2013.0,2.0,21.0,에스에프에이
77360,덕산하이메탈,KDB대우증권,조우형,-0.040173188,2013.0,2.0,21.0,덕산하이메탈
84370,유진테크,KDB대우증권,송종호,0.059026812,2013.0,2.0,21.0,유진테크
10620,현대미포조선,SK증권,이지훈,-0.019696867,2013.0,11.0,27.0,현대미포조선
13030,하이록코리아,SK증권,이지훈,0.0454196144,2013.0,9.0,27.0,하이록코리아
23160,태광,SK증권,이지훈,-0.090880386,2013.0,9.0,27.0,태광
60,메리츠화재,메리츠종금증권,윤제민,0.0402251951,2013.0,12.0,2.0,메리츠화재
1450,현대해상,메리츠종금증권,윤제민,-0.003474805,2013.0,12.0,2.0,현대해상
640,동아쏘시오홀딩스,바로투자증권,신재훈,0.0247981491,2013.0,3.0,19.0,동아제약
5380,현대차,부국증권,안종훈,-0.004726993,2013.0,2.0,1.0,현대차
1630,종근당홀딩스,신영증권,김현태,0.0407644232,2013.0,1.0,29.0,종근당
5440,현대그린푸드,신영증권,서정연,-0.033868191,2013.0,4.0,23.0,현대그린푸드
5440,현대그린푸드,신영증권,서정연,0.0245414748,2013.0,8.0,6.0,현대그린푸드
9830,한화솔루션,신영증권,오정일,0.0102644232,2013.0,1.0,29.0,한화케미칼
10060,OCI,신영증권,오정일,-0.060935577,2013.0,1.0,29.0,OCI
28150,GS홈쇼핑,신영증권,서정연,0.0682616277,2013.0,1.0,31.0,GS홈쇼핑
31440,신세계푸드,신영증권,서정연,0.0179616277,2013.0,1.0,31.0,신세계푸드
31440,신세계푸드,신영증권,서정연,-0.009558525,2013.0,8.0,6.0,신세계푸드
68270,셀트리온,신영증권,김현태,0.0183644232,2013.0,1.0,29.0,셀트리온
68870,LG생명과학,신영증권,김현태,0.0741644232,2013.0,1.0,29.0,LG생명과학
78930,GS,신영증권,오정일,0.0209644232,2013.0,1.0,29.0,GS
81660,휠라홀딩스,신영증권,서정연,0.0119616277,2013.0,1.0,31.0,휠라코리아
96530,씨젠,신영증권,김현태,-0.011735577,2013.0,1.0,29.0,씨젠
96770,SK이노베이션,신영증권,오정일,0.0109644232,2013.0,1.0,29.0,SK이노베이션
105630,한세실업,신영증권,서정연,-0.037538372,2013.0,1.0,31.0,한세실업
111770,영원무역,신영증권,서정연,-0.021738372,2013.0,1.0,31.0,영원무역
3450,현대증권,신한금융투자,손미지,-0.004965207,2013.0,3.0,6.0,현대증권
3540,대신증권,신한금융투자,손미지,-0.016265207,2013.0,3.0,6.0,대신증권
3540,대신증권,신한금융투자,손미지,-0.006343583,2013.0,7.0,8.0,대신증권
6800,미래에셋대우,신한금융투자,손미지,-0.009943583,2013.0,7.0,8.0,대우증권
16360,삼성증권,신한금융투자,손미지,-0.011843583,2013.0,7.0,8.0,삼성증권
30210,KTB투자증권,신한금융투자,손미지,-0.099143583,2013.0,7.0,8.0,KTB투자증권
37620,미래에셋증권,신한금융투자,손미지,-0.055143583,2013.0,7.0,8.0,미래에셋증권
39490,키움증권,신한금융투자,손미지,-0.047743583,2013.0,7.0,8.0,키움증권
71050,한국금융지주,신한금융투자,손미지,0.0108564167,2013.0,7.0,8.0,한국금융지주
810,삼성화재,우리투자증권,한승희,0.0069766772,2013.0,6.0,4.0,삼성화재
1450,현대해상,우리투자증권,한승희,0.0039766772,2013.0,6.0,4.0,현대해상
5830,DB손해보험,우리투자증권,한승희,0.0148766772,2013.0,6.0,4.0,동부화재
36830,솔브레인,우리투자증권,김양재,0.0003088733,2013.0,4.0,2.0,솔브레인
60,메리츠화재,키움증권,차경회,-0.111126993,2013.0,2.0,1.0,메리츠화재
150,두산,키움증권,최원경,0.0013667295,2013.0,4.0,10.0,두산
810,삼성화재,키움증권,차경회,-0.003926993,2013.0,2.0,1.0,삼성화재
1450,현대해상,키움증권,차경회,-0.062526993,2013.0,2.0,1.0,현대해상
5830,DB손해보험,키움증권,차경회,0.0212730074,2013.0,2.0,1.0,동부화재
9540,한국조선해양,키움증권,최원경,0.0171376608,2013.0,11.0,14.0,현대중공업
5490,POSCO,하이투자증권,방민진,0.0476489826,2013.0,11.0,4.0,POSCO
9830,한화솔루션,한맥투자증권,이동욱,0.1263236689,2013.0,10.0,15.0,한화케미칼
11170,롯데케미칼,한맥투자증권,이동욱,0.0717236689,2013.0,10.0,15.0,롯데케미칼
51910,LG화학,한맥투자증권,이동욱,0.0342236689,2013.0,10.0,15.0,LG화학
69260,휴켐스,한맥투자증권,이동욱,0.0347236689,2013.0,10.0,15.0,휴켐스
13030,하이록코리아,한화투자증권,정동익,-0.037309953,2013.0,1.0,7.0,하이록코리아
14620,성광벤드,한화투자증권,정동익,-0.096609953,2013.0,1.0,7.0,성광벤드
